2016/03/20 15:30:45 [router.go:829][D] | GET        | /test                                    | 384.007µs        | match      | /test                                    | 
2016/03/20 15:30:45 [router.go:829][D] | GET        | /category                                | 334.65µs         | match      | /category                                | 
2016/03/20 15:31:05 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 15:31:07 [router.go:829][D] | GET        | /                                        | 1.668904ms       | match      | /                                        | 
2016/03/20 15:31:07 [router.go:829][D] | GET        | /test                                    | 503.547µs        | match      | /test                                    | 
2016/03/20 15:31:07 [router.go:829][D] | GET        | /category                                | 517.491µs        | match      | /category                                | 
2016/03/20 15:31:24 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 15:31:28 [router.go:829][D] | GET        | /                                        | 1.926641ms       | match      | /                                        | 
2016/03/20 15:31:29 [router.go:829][D] | GET        | /test                                    | 420.339µs        | match      | /test                                    | 
2016/03/20 15:31:29 [router.go:829][D] | GET        | /category                                | 338.023µs        | match      | /category                                | 
2016/03/20 15:31:35 [router.go:829][D] | GET        | /test                                    | 302.457µs        | match      | /test                                    | 
2016/03/20 15:31:36 [router.go:829][D] | GET        | /                                        | 1.399203ms       | match      | /                                        | 
2016/03/20 15:31:37 [router.go:829][D] | GET        | /test                                    | 423.513µs        | match      | /test                                    | 
2016/03/20 15:31:37 [router.go:829][D] | GET        | /category                                | 256.363µs        | match      | /category                                | 
2016/03/20 15:32:00 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 15:32:10 [router.go:829][D] | GET        | /                                        | 1.836247ms       | match      | /                                        | 
2016/03/20 15:32:11 [router.go:829][D] | GET        | /test                                    | 542.921µs        | match      | /test                                    | 
2016/03/20 15:32:11 [router.go:829][D] | GET        | /category                                | 581.185µs        | match      | /category                                | 
2016/03/20 15:32:13 [router.go:829][D] | GET        | /                                        | 1.070541ms       | match      | /                                        | 
2016/03/20 15:32:13 [router.go:829][D] | GET        | /test                                    | 345.012µs        | match      | /test                                    | 
2016/03/20 15:32:13 [router.go:829][D] | GET        | /category                                | 227.105µs        | match      | /category                                | 
2016/03/20 15:32:28 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 15:32:30 [router.go:829][D] | GET        | /                                        | 1.808ms          | match      | /                                        | 
2016/03/20 15:32:30 [router.go:829][D] | GET        | /category                                | 1.010513ms       | match      | /category                                | 
2016/03/20 15:32:30 [router.go:829][D] | GET        | /test                                    | 2.625208ms       | match      | /test                                    | 
2016/03/20 15:32:45 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 15:32:48 [router.go:829][D] | GET        | /                                        | 1.819089ms       | match      | /                                        | 
2016/03/20 15:32:48 [router.go:829][D] | GET        | /test                                    | 470.519µs        | match      | /test                                    | 
2016/03/20 15:32:48 [router.go:829][D] | GET        | /category                                | 431.001µs        | match      | /category                                | 
2016/03/20 15:32:49 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 15:32:58 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 15:52:47 [router.go:829][D] | GET        | /                                        | 2.130125ms       | match      | /                                        | 
2016/03/20 15:52:47 [router.go:829][D] | GET        | /category                                | 464.777µs        | match      | /category                                | 
2016/03/20 15:52:47 [router.go:829][D] | GET        | /test                                    | 514.919µs        | match      | /test                                    | 
2016/03/20 15:56:05 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 15:56:08 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 16:00:59 [router.go:829][D] | GET        | /                                        | 1.744189ms       | match      | /                                        | 
2016/03/20 16:00:59 [router.go:829][D] | GET        | /test                                    | 455.575µs        | match      | /test                                    | 
2016/03/20 16:00:59 [router.go:829][D] | GET        | /category                                | 627.533µs        | match      | /category                                | 
2016/03/20 16:01:01 [router.go:829][D] | GET        | /test                                    | 348.74µs         | match      | /test                                    | 
2016/03/20 16:01:01 [router.go:829][D] | GET        | /test                                    | 307.961µs        | match      | /test                                    | 
2016/03/20 16:01:03 [router.go:829][D] | GET        | /test                                    | 336.034µs        | match      | /test                                    | 
2016/03/20 16:01:03 [router.go:829][D] | GET        | /test                                    | 301.34µs         | match      | /test                                    | 
2016/03/20 16:01:04 [router.go:829][D] | GET        | /test                                    | 343.084µs        | match      | /test                                    | 
2016/03/20 16:01:04 [router.go:829][D] | GET        | /test                                    | 405.428µs        | match      | /test                                    | 
2016/03/20 16:01:05 [router.go:829][D] | GET        | /                                        | 1.573614ms       | match      | /                                        | 
2016/03/20 16:01:05 [router.go:829][D] | GET        | /test                                    | 361.917µs        | match      | /test                                    | 
2016/03/20 16:01:05 [router.go:829][D] | GET        | /category                                | 243.038µs        | match      | /category                                | 
2016/03/20 16:01:09 [router.go:829][D] | GET        | /test                                    | 317.903µs        | match      | /test                                    | 
2016/03/20 16:01:22 [router.go:829][D] | GET        | /test                                    | 350.64µs         | match      | /test                                    | 
2016/03/20 16:01:23 [router.go:829][D] | GET        | /test                                    | 303.659µs        | match      | /test                                    | 
2016/03/20 16:01:24 [router.go:829][D] | GET        | /test                                    | 330.513µs        | match      | /test                                    | 
2016/03/20 16:01:24 [router.go:829][D] | GET        | /test                                    | 322.302µs        | match      | /test                                    | 
2016/03/20 16:01:25 [router.go:829][D] | GET        | /test                                    | 344.615µs        | match      | /test                                    | 
2016/03/20 16:01:26 [router.go:829][D] | GET        | /                                        | 1.437578ms       | match      | /                                        | 
2016/03/20 16:01:26 [router.go:829][D] | GET        | /category                                | 248.701µs        | match      | /category                                | 
2016/03/20 16:01:26 [router.go:829][D] | GET        | /test                                    | 747.244µs        | match      | /test                                    | 
2016/03/20 16:01:47 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 16:01:51 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 16:01:55 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 16:01:58 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 16:02:01 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 16:02:04 [asm_amd64.s:1721][I] http server Running on :8088
2016/03/20 16:02:07 [asm_amd64.s:1721][I] http server Running on :8088
